date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:48	19033/19033	---M-Z	200	added ('OK')	text/html	etag:W/%225fd5032b-4a59%22	https://joannacss.github.io/	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/index.html	(from )
20:05:49	42/42	---M-Z	200	added ('OK')	text/plain	etag:W/%225fd50326-16%22	https://joannacss.github.io/robots.txt		(from )
20:05:50	160302/160302	---M-Z	200	added ('OK')	text/css	etag:%221596732221%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://joannacss.github.io/)
20:05:50	56620/56620	---M-Z	200	added ('OK')	text/css	etag:W/%225fd50326-dd2c%22	https://joannacss.github.io/assets/bootstrap-dark/dist/bootstrap-nightfall.css	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/bootstrap-dark/dist/bootstrap-nightfall.css	(from https://joannacss.github.io/)
20:05:51	57503/57503	---M-Z	200	added ('OK')	text/css	etag:W/%225fd50326-e09f%22	https://joannacss.github.io/assets/fontawesome-5.14.0/css/fontawesome.min.css	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/fontawesome-5.14.0/css/fontawesome.min.css	(from https://joannacss.github.io/)
20:05:51	58935/58935	---M-Z	200	added ('OK')	text/css	etag:W/%225fd50326-e637%22	https://joannacss.github.io/assets/fontawesome-5.14.0/css/all.min.css	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/fontawesome-5.14.0/css/all.min.css	(from https://joannacss.github.io/)
20:05:52	734/734	---M-Z	200	added ('OK')	text/css	etag:W/%225fd50326-2de%22	https://joannacss.github.io/assets/bootstrap-templates/css/sticky-footer-navbar.css	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/bootstrap-templates/css/sticky-footer-navbar.css	(from https://joannacss.github.io/)
20:05:53	6758/6758	---M-Z	200	added ('OK')	text/css	etag:W/%221a66-BK8TERYlPp/cC+I7pB2nhGId96I%22	https://cdn.jsdelivr.net/gh/jpswalsh/academicons@1/css/academicons.min.css	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/cdn.jsdelivr.net/gh/jpswalsh/academicons@1/css/academicons.min.css	(from https://joannacss.github.io/)
20:05:53	7787/7787	---M-Z	200	added ('OK')	text/css	etag:W/%225fd50326-1e6b%22	https://joannacss.github.io/assets/custom/j.css	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/custom/j.css	(from https://joannacss.github.io/)
20:05:54	20251/20251	---M--	200	added ('OK')	image/png	etag:%225fd50326-4f1b%22	https://joannacss.github.io/apple-touch-icon.png	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/apple-touch-icon.png	(from https://joannacss.github.io/)
20:05:54	1938/1938	---M--	200	added ('OK')	image/png	etag:%225fd50326-792%22	https://joannacss.github.io/favicon-32x32.png	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/favicon-32x32.png	(from https://joannacss.github.io/)
20:05:55	868/868	---M--	200	added ('OK')	image/png	etag:%225fd50326-364%22	https://joannacss.github.io/favicon-16x16.png	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/favicon-16x16.png	(from https://joannacss.github.io/)
20:05:55	263/263	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%225fd50326-107%22	https://joannacss.github.io/site.webmanifest	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/site.webmanifest	(from https://joannacss.github.io/)
20:05:56	74301/74301	---M-Z	200	added ('OK')	text/html	etag:W/%225fd5032b-1223d%22	https://joannacss.github.io/publications	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/publications.html	(from https://joannacss.github.io/)
20:05:56	17566/17566	---M-Z	200	added ('OK')	text/html	etag:W/%225fd5032b-449e%22	https://joannacss.github.io/education	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/education.html	(from https://joannacss.github.io/)
20:05:56	16039/16039	---M-Z	200	added ('OK')	text/html	etag:W/%225fd5032b-3ea7%22	https://joannacss.github.io/services	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/services.html	(from https://joannacss.github.io/)
20:05:57	21110/21110	---M-Z	200	added ('OK')	text/html	etag:W/%225fd5032b-5276%22	https://joannacss.github.io/experience	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/experience.html	(from https://joannacss.github.io/)
20:05:58	14584/14584	---M-Z	200	added ('OK')	text/html	etag:W/%225fd5032b-38f8%22	https://joannacss.github.io/honors-awards	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/honors-awards.html	(from https://joannacss.github.io/)
20:06:00	1917/1917	---M--	200	added ('OK')	image/jpeg	etag:%225fd50326-77d%22	https://joannacss.github.io/assets/img/captcha-black.jpeg	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/img/captcha-black.jpg	(from https://joannacss.github.io/)
20:06:01	197387/197387	---M--	200	added ('OK')	application/pdf	etag:%225fd50326-3030b%22	https://joannacss.github.io/assets/cv.pdf	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/cv.pdf	(from https://joannacss.github.io/)
20:06:01	124568/124568	---M--	200	added ('OK')	image/jpeg	etag:%225fd50326-1e698%22	https://joannacss.github.io/assets/img/profile-cropped.jpg	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/img/profile-cropped.jpg	(from https://joannacss.github.io/)
20:06:02	72380/72380	---M-Z	200	added ('OK')	application/javascript	etag:W/%225eb09f0f-11abc%22	https://code.jquery.com/jquery-3.5.1.slim.min.js	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/code.jquery.com/jquery-3.5.1.slim.min.js	(from https://joannacss.github.io/)
20:06:02	21233/21233	---M-Z	200	added ('OK')	application/javascript	etag:W/%2252f1-MTeJyg4xtlR4TbuosPg/Nk+Gg7Q%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js	(from https://joannacss.github.io/)
20:06:03	60044/60044	---M-Z	200	added ('OK')	text/javascript	etag:%221596732224%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://joannacss.github.io/)
20:06:04	1779/1779	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fd50326-6f3%22	https://joannacss.github.io/assets/custom/j.js	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/custom/j.js	(from https://joannacss.github.io/)
20:06:06	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/www.google-analytics.com/analytics.js	(from https://joannacss.github.io/)
20:06:07	134622/134622	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225fd50326-20dde%22	https://joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-brands-400.eot	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-brands-400.eot	(from https://joannacss.github.io/assets/fontawesome-5.14.0/css/all.min.css)
20:06:08	134622/134622	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225fd50326-20dde%22	https://joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-brands-400.eot?	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-brands-400d41d.eot	(from https://joannacss.github.io/assets/fontawesome-5.14.0/css/all.min.css)
20:06:08	77400/77400	---M--	200	added ('OK')	font/woff2	etag:%225fd50326-12e58%22	https://joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-brands-400.woff2	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-brands-400.woff2	(from https://joannacss.github.io/assets/fontawesome-5.14.0/css/all.min.css)
20:06:10	90672/90672	---M--	200	added ('OK')	font/woff	etag:%225fd50326-16230%22	https://joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-brands-400.woff	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-brands-400.woff	(from https://joannacss.github.io/assets/fontawesome-5.14.0/css/all.min.css)
20:06:10	134316/134316	---M-Z	200	added ('OK')	font/ttf	etag:W/%225fd50326-20cac%22	https://joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-brands-400.ttf	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-brands-400.ttf	(from https://joannacss.github.io/assets/fontawesome-5.14.0/css/all.min.css)
20:06:11	34350/34350	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225fd50326-862e%22	https://joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-regular-400.eot	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-regular-400.eot	(from https://joannacss.github.io/assets/fontawesome-5.14.0/css/all.min.css)
20:06:11	34350/34350	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225fd50326-862e%22	https://joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-regular-400.eot?	C:/Users/Dell/Desktop/Website_copier/Wajdi%20website/joannacss.github.io/assets/fontawesome-5.14.0/webfonts/fa-regular-400d41d.eot	(from https://joannacss.github.io/assets/fontawesome-5.14.0/css/all.min.css)
